Id,Status__c,Tenancy__c,Parent_Tenancy
a24Nz0000011m3dIAA,Pending Cancel/Close,800Pv00000GEzyMIAT,
a24Nz0000011p9ZIAQ,Complete,800Nz000001pHBDIA2,
a24Nz00000128s9IAA,Complete,8008d000000Ym7pAAC,
a24Nz0000012A5xIAE,Complete,800Nz000001myB8IAI,
a24Nz0000012DqDIAU,Complete,8008d000000YkEVAA0,
a24Nz0000012I0IIAU,Complete,8008d000000YBapAAG,
a24Nz0000012JcHIAU,Complete,800Nz000000qpCvIAI,
a24Nz0000012LmBIAU,Complete,800Nz000003H82sIAC,
a24Nz0000012OGzIAM,Complete,8008d000000YbT4AAK,
a24Nz0000012RbSIAU,Complete,800Nz00000288QgIAI,
a24Nz0000012RoLIAU,Complete,8008d000000YlafAAC,
a24Nz0000012RzdIAE,Complete,8008d000000YnqCAAS,
a24Nz0000012SsTIAU,Active,8008d000000YkL2AAK,
a24Nz0000012Y1qIAE,Active,800Nz000001LrnAIAS,
a24Nz0000012ardIAA,Complete,800Nz000000qYs3IAE,
a24Nz0000012oucIAA,Complete,800Nz000007AvfTIAS,
a24Nz0000012qWbIAI,Active,800Nz000001JLOMIA4,
a24Nz0000012qtBIAQ,Active,800Pv00000G4vouIAB,
a24Nz0000012vHlIAI,Complete,8008d000000YejuAAC,
a24Nz0000012wDpIAI,Complete,8008d000000YXwIAAW,
a24Nz0000012wc1IAA,Closed - Tenant Retained,8008d000000YgIPAA0,
a24Nz0000012ykHIAQ,Complete,800Nz000000YLd7IAG,
a24Nz00000130NuIAI,Complete,800Nz000005K5GtIAK,
a24Nz0000013593IAA,Complete,8008d000000YlSlAAK,
a24Nz00000135k9IAA,Complete,800Nz000000pO8QIAU,
a24Nz000001361tIAA,Active,8008d000000YnNsAAK,
a24Nz00000137KXIAY,Active,800Nz000001zzXbIAI,
a24Nz0000013LSLIA2,Complete,800Nz000001h5GpIAI,
a24Nz0000013tFVIAY,Complete,8008d000000YonOAAS,
a24Nz0000013tU1IAI,Complete,800Nz0000056hvSIAQ,
a24Nz0000013vHJIAY,Complete,800Nz000000kpu3IAA,
a24Nz0000013vlxIAA,Complete,8008d000000YdG1AAK,
a24Nz0000013w0TIAQ,Active,8004J000000Bd43QAC,
a24Nz0000013x6DIAQ,Cancelled,800Nz000002FW6jIAG,
