Id,Unit__c,StartDate,Tenancy_End_Date__c
800Pv00000FzfvPIAR,a1G4J00000262zvUAA,2006-01-01,2130-12-31
800Pv00000FzfvSIAR,a1G8d0000004DKjEAM,2023-09-18,2024-09-17
800Pv00000Fzg3UIAR,a1G4J0000025yfzUAA,2023-09-01,2024-08-31
800Pv00000Fzg3VIAR,a1G4J0000025yjrUAA,,
800Pv00000Fzg3WIAR,a1G4J0000025ypHUAQ,2024-06-07,2025-06-06
800Pv00000Fzg3XIAR,a1G4J0000025yrfUAA,2023-09-15,2025-09-14
800Pv00000Fzg3YIAR,a1G4J0000025yriUAA,2023-07-25,2024-07-24
800Pv00000Fzg3ZIAR,a1G4J0000025yzNUAQ,2023-01-01,2025-12-31
800Pv00000Fzg3aIAB,a1G4J0000025z1YUAQ,2023-10-23,2024-10-22
800Pv00000Fzg3bIAB,a1G4J0000025z8fUAA,2022-09-07,2024-09-06
800Pv00000Fzg3cIAB,a1G4J0000025zCLUAY,2023-10-01,2024-09-30
800Pv00000Fzg3dIAB,a1G4J0000025zFlUAI,2023-09-15,2024-09-14
800Pv00000FzgAwIAJ,a1G8d0000004XakEAE,2023-06-20,2024-06-19
800Pv00000FzgAyIAJ,a1G8d0000004XfBEAU,2024-03-27,2025-03-26
800Pv00000FzgB0IAJ,a1G8d0000004c5HEAQ,2023-10-28,2024-10-27
800Pv00000FzgQgIAJ,a1G4J0000025wyPUAQ,2023-09-01,2024-08-31
800Pv00000FzgQhIAJ,a1G4J0000025wyXUAQ,2018-08-01,2024-07-31
800Pv00000FzgQiIAJ,a1G4J0000025wyoUAA,2016-07-01,2141-06-30
800Pv00000FzgQjIAJ,a1G4J0000025wyxUAA,2023-11-16,2024-11-15
800Pv00000FzgQkIAJ,a1G4J0000025wz6UAA,2024-04-08,2025-04-07
800Pv00000FzgQlIAJ,a1G4J0000025wzcUAA,2024-05-03,2025-05-02
800Pv00000FzgQmIAJ,a1G4J0000025wzjUAA,2024-12-31,2025-12-30
800Pv00000FzgQnIAJ,a1G4J0000025x0IUAQ,2024-05-01,2025-04-30
800Pv00000FzgQoIAJ,a1G4J0000025x0KUAQ,2024-03-23,2025-03-22
800Pv00000FzgQpIAJ,a1G4J0000025x0SUAQ,2023-11-05,2024-11-04
800Pv00000FzgkxIAB,a1G8d0000004XZwEAM,2024-03-22,2025-03-21
800Pv00000FzgkyIAB,a1G8d0000004Xa2EAE,2024-06-01,2025-05-31
800Pv00000FzgkzIAB,a1G8d0000004XdtEAE,2024-05-20,2025-05-19
800Pv00000Fzgl0IAB,a1G8d0000004Xe4EAE,2024-03-08,2025-03-07
800Pv00000Fzgl1IAB,a1G8d0000004XeJEAU,2024-06-15,2025-06-14
800Pv00000Fzgl2IAB,a1G8d0000004XhlEAE,2024-06-20,2025-06-19
800Pv00000Fzgl3IAB,a1G8d0000004YneEAE,2022-06-13,2147-06-12
800Pv00000Fzgl4IAB,a1G8d0000004cA1EAI,2023-09-14,2024-09-13
800Pv00000Fzgl5IAB,a1G8d0000004cAkEAI,2023-10-11,2024-10-10
800Pv00000Fzgl6IAB,a1G8d0000004qZzEAI,2023-07-07,2024-07-06
800Pv00000Fzh13IAB,a1G4J00000261OFUAY,,2186-12-19
800Pv00000Fzh14IAB,a1G4J00000261OPUAY,1988-09-02,2177-09-01
800Pv00000Fzh15IAB,a1G4J00000261QEUAY,1985-03-25,2185-03-24
800Pv00000Fzh16IAB,a1G4J00000261UhUAI,1958-09-29,2122-09-15
800Pv00000Fzh17IAB,a1G4J00000261V6UAI,1984-06-24,2199-06-23
800Pv00000Fzh18IAB,a1G4J00000261W0UAI,2009-10-25,2134-10-27
800Pv00000Fzh19IAB,a1G4J00000261W4UAI,1985-03-25,2185-03-24
800Pv00000Fzh1AIAR,a1G4J00000261W9UAI,1985-03-25,2185-03-24
800Pv00000Fzh1BIAR,a1G4J00000261WAUAY,2011-10-06,2160-12-31
800Pv00000Fzh1CIAR,a1G4J00000261WEUAY,1985-03-25,2185-03-24
800Pv00000Fzh2cIAB,a1G4J0000025vDhUAI,,
800Pv00000Fzh2dIAB,a1G4J0000025vE2UAI,1996-01-01,
800Pv00000Fzh2eIAB,a1G4J0000025vEOUAY,1898-12-25,2897-12-24
800Pv00000Fzh2fIAB,a1G4J0000025vF5UAI,1964-12-25,2963-12-24
800Pv00000Fzh2gIAB,a1G4J0000025vF7UAI,,
800Pv00000Fzh2hIAB,a1G4J0000025vFJUAY,1898-06-22,2897-06-21
800Pv00000Fzh2iIAB,a1G4J0000025vFxUAI,1999-09-29,2188-09-28
800Pv00000Fzh2jIAB,a1G4J0000025vG6UAI,1908-06-24,2905-06-23
800Pv00000Fzh2kIAB,a1G4J0000025vG8UAI,1935-03-20,2934-03-19
800Pv00000Fzh2lIAB,a1G4J0000025vGmUAI,1898-05-10,2897-05-09
800Pv00000FzhkQIAR,a1GNz0000000cWjMAI,2024-05-18,2024-06-17
800Pv00000FzhkRIAR,a1G4J0000025zvsUAA,,2130-12-31
800Pv00000FzhkSIAR,a1G4J0000025zwOUAQ,2011-01-01,2130-12-31
800Pv00000FzhkUIAR,a1G4J0000025zwYUAQ,2023-10-07,2025-10-06
800Pv00000FzhkVIAR,a1G4J0000025zwpUAA,2023-08-30,2024-08-29
800Pv00000FzhkWIAR,a1G4J0000025zx2UAA,2011-01-01,2130-12-31
800Pv00000FzhkXIAR,a1G4J0000025zxhUAA,2011-01-01,2130-12-31
800Pv00000FzhkYIAR,a1G4J0000025zyfUAA,2024-02-28,2025-02-27
800Pv00000FzhkaIAB,a1G4J0000025zzDUAQ,2024-03-20,2025-03-19
800Pv00000FzhkbIAB,a1G4J000002600CUAQ,2023-10-06,2024-10-05
800Pv00000FzhkcIAB,a1G4J000002600HUAQ,2023-11-01,2025-10-31
800Pv00000FzhkdIAB,a1G4J000002600kUAA,2011-01-01,2130-12-31
800Pv00000FzhkfIAB,a1G4J000002601dUAA,2011-01-01,2130-12-31
800Pv00000FzhkgIAB,a1G4J0000026022UAA,2011-01-01,2135-12-31
800Pv00000FzhkhIAB,a1G4J000002602cUAA,2023-08-31,2024-08-30
800Pv00000Fzi5EIAR,a1G4J0000025tZEUAY,1950-12-25,2949-12-24
800Pv00000Fzi5FIAR,a1G4J0000025tZFUAY,2006-10-24,2116-06-20
800Pv00000Fzi5GIAR,a1G4J0000025tgZUAQ,2014-05-01,2016-04-30
800Pv00000Fzi5OIAR,a1G4J0000025u1rUAA,2010-12-25,2135-12-24
800Pv00000Fzi5PIAR,a1G4J0000025u1sUAA,2006-01-01,2130-12-31
800Pv00000Fzi5UIAR,a1G4J0000025uCYUAY,2018-08-23,2143-08-22
800Pv00000Fzi5VIAR,a1G4J0000025uEXUAY,1965-09-29,2154-09-28
800Pv00000Fzi5aIAB,a1G4J0000025uo7UAA,1902-02-20,2901-02-19
800Pv00000Fzi5gIAB,a1G4J0000025vBGUAY,2014-03-25,2164-03-24
800Pv00000Fzi5kIAB,a1G4J0000025vH0UAI,1937-04-05,2737-04-04
800Pv00000Fzi5pIAB,a1G4J0000025vZaUAI,1935-01-01,2933-12-31
800Pv00000Fzi5vIAB,a1G4J0000025vl3UAA,2018-01-01,2142-12-31
800Pv00000Fzi5wIAB,a1G4J0000025vqTUAQ,1987-12-25,2086-12-24
800Pv00000Fzi5xIAB,a1G4J0000025vu6UAA,1981-03-25,2101-03-24
800Pv00000Fzi61IAB,a1G4J0000025wAyUAI,1950-12-25,2949-12-24
800Pv00000Fzi62IAB,a1G4J0000025wB0UAI,1950-12-25,2949-12-24
