product2id,pricebook2id,unitprice,rent_periodicity__c,isactive
01t8d000000oiKTAAY,01sPv000002kqTtIAI,1379.5,Monthly,TRUE
01t8d000000oiKTAAY,01sPv000002kqTuIAI,1386.13,Monthly,TRUE
01t8d000000oiKTAAY,01sPv000002kqTvIAI,1393,Monthly,TRUE
01t8d000000oiKTAAY,01sPv000002kqTwIAI,1399.69,Monthly,TRUE
01t8d000000oiKTAAY,01sPv000002kqTxIAI,1406.64,Monthly,TRUE
01t8d000000oiKTAAY,01sPv000002kqTyIAI,1413.61,Monthly,TRUE
01t8d000000oiKTAAY,01sPv000002kqTzIAI,1420.4,Monthly,TRUE
01t8d000000oIl3AAE,01sPv0000038lL1IAI,1723.51,Monthly,TRUE
01t8d000000oIl3AAE,01sPv0000038lL2IAI,1731.78,Monthly,TRUE
01t8d000000oIl3AAE,01sPv0000038lKzIAI,1740.37,Monthly,TRUE
01t8d000000oIl3AAE,01sPv0000038lL0IAI,1749.01,Monthly,TRUE
01t8d000000oIl3AAE,01sPv00000246dZIAQ,1756.84,Monthly,TRUE
01t8d000000oIl3AAE,01sPv000002kqTtIAI,1765.56,Monthly,TRUE
01t8d000000oIl3AAE,01sPv000002kqTuIAI,1774.04,Monthly,TRUE
01t8d000000oIl3AAE,01sPv000002kqTvIAI,1782.84,Monthly,TRUE
01t8d000000oIl3AAE,01sPv000002kqTwIAI,1791.4,Monthly,TRUE
01t8d000000oIl3AAE,01sPv000002kqTxIAI,1800.28,Monthly,TRUE
01t8d000000oIl3AAE,01sPv000002kqTyIAI,1809.21,Monthly,TRUE
01t8d000000oIl3AAE,01sPv000002kqTzIAI,1817.9,Monthly,TRUE
01t8d000000oiqxAAA,01sPv0000038lL1IAI,1336.6,Monthly,TRUE
01t8d000000oiqxAAA,01sPv0000038lL2IAI,1343.01,Monthly,TRUE
01t8d000000oiqxAAA,01sPv0000038lKzIAI,1349.68,Monthly,TRUE
01t8d000000oiqxAAA,01sPv0000038lL0IAI,1356.37,Monthly,TRUE
01t8d000000oiqxAAA,01sPv00000246dZIAQ,1362.45,Monthly,TRUE
01t8d000000oiqxAAA,01sPv000002kqTtIAI,1369.21,Monthly,TRUE
01t8d000000oiqxAAA,01sPv000002kqTuIAI,1375.78,Monthly,TRUE
01t8d000000oiqxAAA,01sPv000002kqTvIAI,1382.61,Monthly,TRUE
01t8d000000oiqxAAA,01sPv000002kqTwIAI,1389.25,Monthly,TRUE
01t8d000000oiqxAAA,01sPv000002kqTxIAI,1396.14,Monthly,TRUE
01t8d000000oiqxAAA,01sPv000002kqTyIAI,1403.06,Monthly,TRUE
01t8d000000oiqxAAA,01sPv000002kqTzIAI,1409.8,Monthly,TRUE
01t8d000000oir2AAA,01sPv0000038lL1IAI,2080.27,Monthly,TRUE
01t8d000000oir2AAA,01sPv0000038lL2IAI,2090.26,Monthly,TRUE
01t8d000000oir2AAA,01sPv0000038lKzIAI,2100.63,Monthly,TRUE
01t8d000000oir2AAA,01sPv0000038lL0IAI,2111.05,Monthly,TRUE
01t8d000000oir2AAA,01sPv00000246dZIAQ,2120.51,Monthly,TRUE
01t8d000000oir2AAA,01sPv000002kqTtIAI,2131.03,Monthly,TRUE
01t8d000000oir2AAA,01sPv000002kqTuIAI,2141.26,Monthly,TRUE
01t8d000000oir2AAA,01sPv000002kqTvIAI,2151.88,Monthly,TRUE
01t8d000000oir2AAA,01sPv000002kqTwIAI,2162.21,Monthly,TRUE
