"PMS_Reference__c","tenancy_status__c","status"
"104016001002","Current","Activated"
"104355001003","Current","Activated"
"104722001001","Current","Activated"
"104019001004","Current","Activated"
"104005001004","Current","Activated"
"112556001002","Current","Activated"
"112853002002","Current","Activated"
"112899002004","Current","Activated"
"104001001002","Current","Activated"
"104095001004","Current","Activated"
"104152041004","Current","Activated"
"104104001003","Current","Activated"
"104152038005","Current","Activated"
"104004001004","Current","Activated"
"105822001001","Current","Activated"
"104024001006","Current","Activated"
"104361002003","Current","Activated"
"105057002001","Current","Activated"
"107723004001","Current","Activated"
"104007001003","Current","Activated"
"104038001005","Current","Activated"
"104256001002","Current","Activated"
"104039001004","Current","Activated"
"104164005005","Current","Activated"
"104223004002","Current","Activated"
"104039002005","Current","Activated"
"104107001002","Current","Activated"
"104154020002","Current","Activated"
"104350016005","Current","Activated"
"104046001001","Current","Activated"
"107691001006","Current","Activated"
"104048002002","Current","Activated"
"104092002003","Current","Activated"
"104050003002","Current","Activated"
"110474001001","Current","Activated"
"104152066002","Current","Activated"
"104183001001","Current","Activated"
"104236001001","Current","Activated"
"104071001004","Current","Activated"
"104152058002","Current","Activated"
"105147001001","Current","Activated"
"105099026005","Current","Activated"
"104047001003","Current","Activated"
"104105002003","Current","Activated"
"104047003002","Current","Activated"
"104091001002","Current","Activated"
"104152026004","Current","Activated"
"104048001003","Current","Activated"
"104068001001","Current","Activated"
"104057002007","Current","Activated"
"104365001006","Current","Activated"
"104465002004","Current","Activated"
"104520001001","Current","Activated"
"104057001004","Current","Activated"
"104154015004","Current","Activated"
"104152051002","Current","Activated"
"104159001001","Current","Activated"
"104077001001","Current","Activated"
"104396001003","Current","Activated"
"104079001001","Current","Activated"
"104362001002","Current","Activated"
"104379002004","Current","Activated"
"104407003004","Current","Activated"
"107793001001","Current","Activated"
"104097002003","Current","Activated"
"104203041001","Current","Activated"
"104455031001","Current","Activated"
"104098002005","Current","Activated"
"104152125002","Current","Activated"
"104722032003","Current","Activated"
"104096001003","Current","Activated"
"104366001003","Current","Activated"
"104105001001","Current","Activated"
"104133001004","Current","Activated"
"104152070003","Current","Activated"
"104152106005","Current","Activated"
"104103001001","Current","Activated"
"104101001004","Current","Activated"
"105099027004","Current","Activated"
"104136001004","Current","Activated"
"104152025002","Current","Activated"
"104136002003","Current","Activated"
"104152042003","Current","Activated"
"104152118002","Current","Activated"
"104152123004","Current","Activated"
"104091002002","Current","Activated"
"104152002003","Current","Activated"
"104152095003","Current","Activated"
"105099029003","Current","Activated"
"104090001001","Current","Activated"
"104106002001","Current","Activated"
"104401002006","Current","Activated"
"104410002003","Current","Activated"
"104090002003","Current","Activated"
"104722030003","Current","Activated"
"104111002001","Current","Activated"
"104393001003","Current","Activated"
"107521007001","Current","Activated"
"107654001003","Current","Activated"
"104154042004","Current","Activated"
"104154043001","Current","Activated"
"104111001001","Current","Activated"
"104152126002","Current","Activated"
"104153005004","Current","Activated"
"104154038002","Current","Activated"
"104152018002","Current","Activated"
"104154022002","Current","Activated"
"104557001002","Current","Activated"
"104154026001","Current","Activated"
"104153002006","Current","Activated"
"104186004001","Current","Activated"
"104223013004","Current","Activated"
"104406001001","Current","Activated"
"104109002005","Current","Activated"
"104154030003","Current","Activated"
"104455039001","Current","Activated"
"104152013002","Current","Activated"
"104174065006","Current","Activated"
"104154023005","Current","Activated"
"104350022005","Current","Activated"
"104154041004","Current","Activated"
"105923001001","Current","Activated"
"104152033003","Current","Activated"
"104722027001","Current","Activated"
"107515001001","Current","Activated"
"107726003001","Current","Activated"
"104152009004","Current","Activated"
"104124002003","Current","Activated"
"104152030003","Current","Activated"
